,outDegree,indegreeAveGene,indegreeVarGene,indispenAveGene,indispenVarGene,numTissueAve,numTissueVar,closeAveGene,closeVarGene,degreeAveGene,degreeVarGene,pgrkAveGene,pgrkVarGene,egAveGene,egVarGene,SG1_outDegree,SG1_indegreeAveGene,SG1_indegreeVarGene,SG8_outDegree,SG8_indegreeAveGene,SG8_indegreeVarGene,SG19_outDegree,SG19_indegreeAveGene,SG19_indegreeVarGene,SG29_outDegree,SG29_indegreeAveGene,SG29_indegreeVarGene,SG32_outDegree,SG32_indegreeAveGene,SG32_indegreeVarGene,SG36_outDegree,SG36_indegreeAveGene,SG36_indegreeVarGene,SG37_outDegree,SG37_indegreeAveGene,SG37_indegreeVarGene,SG38_outDegree,SG38_indegreeAveGene,SG38_indegreeVarGene,SG47_outDegree,SG47_indegreeAveGene,SG47_indegreeVarGene,SG50_outDegree,SG50_indegreeAveGene,SG50_indegreeVarGene,SG53_outDegree,SG53_indegreeAveGene,SG53_indegreeVarGene,SG57_outDegree,SG57_indegreeAveGene,SG57_indegreeVarGene,SG65_outDegree,SG65_indegreeAveGene,SG65_indegreeVarGene,SG68_outDegree,SG68_indegreeAveGene,SG68_indegreeVarGene,SG72_outDegree,SG72_indegreeAveGene,SG72_indegreeVarGene,conservation,numTissue,delState
chr2-89155000-89155800,1,45.0,0.0,0.994157959775635,0.0,1.0,0.0,0.0809289644444091,0.0,0.0002413300301285,0.0,7.398603196592807e-05,0.0,6.867277950269734e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122225,1,Deleted
chr1-70000400-70001400,1,39.0,0.0,0.8720069423835771,0.0,1.0,0.0,0.018447197618278,0.0,0.0001659143957133,0.0,7.261690434116779e-05,0.0,2.635931131979804e-17,0.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066092,0,Deleted
chr4-10213600-10215400,2,41.5,156.25,0.6419622666731355,0.0912683092942632,1.0,0.0,0.0882694671151237,0.0006488728175563,0.0001659143957133,2.402976318767526e-09,4.937045414637968e-05,3.978004815841539e-10,0.000182956173098,3.347052588452768e-08,0.0,0.0,0.0,2.0,30.5,272.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424006,0,Deleted
chr4-7182600-7183400,3,29.66666666666667,38.888888888888886,0.3421317363383656,0.0326322449501289,1.3333333333333333,0.2222222222222222,0.0442884123002427,0.0022171506798659,0.0001156373061032,6.09828309693797e-10,2.0343251190868312e-05,6.51267624706901e-11,7.157324008343123e-05,1.0245457392079574e-08,3.0,17.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328437,2,Deleted
chr18-47001200-47001400,1,45.0,0.0,0.157129147952293,0.0,1.0,0.0,0.0001696851774341,0.0,0.0001696851774341,0.0,2.9209568153124805e-05,0.0,3.2689833665703717e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012715,1,Deleted
chr1-231538600-231539600,5,35.6,12.64,0.594890037554501,0.1409781516734883,1.6,0.64,0.0109498879973116,0.0001754596043672,0.0001621436139926,9.839405991639814e-10,1.6789101653031378e-05,1.3482362663424804e-11,4.75985846911897e-16,3.813936126707573e-31,2.0,6.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.4,2.24,0.0,0.0,0.0,0.039584,3,Deleted
chr5-34083400-34084800,3,29.0,6.0,0.2109832828854753,0.0067322859664931,2.0,0.6666666666666666,0.0001093526699019,8.531276871363994e-11,0.0001106095971422,1.1691009045943253e-10,1.6741130337725575e-05,5.695917423076303e-12,2.107292820650044e-37,3.1629490417514575e-76,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008395,3,Deleted
chr13-84591200-84591800,1,52.0,0.0,0.4608638169284191,0.0,1.0,0.0,0.0878983425896881,0.0,0.0001998514312002,0.0,9.757915976622856e-05,0.0,6.917199621547464e-07,0.0,0.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0520533,0,Deleted
chr6-55833400-55835000,1,50.0,0.0,0.4059742595307229,0.0,1.0,0.0,0.0001885390860379,0.0,0.0001923098677586,0.0,6.232664475702288e-05,0.0,3.632011662170469e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129513,1,Deleted
chr7-110850000-110851800,1,42.0,0.0,0.6228476072636789,0.0,2.0,0.0,0.0232633716573985,0.0,0.0001621436139926,0.0,5.450303084266825e-05,0.0,9.77017642407934e-18,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05723,1,Deleted
chr14-66070400-66072400,1,34.0,0.0,0.53917561279198,0.0,1.0,0.0,0.0001282065785057,0.0,0.0001319773602265,0.0,1.48558022587796e-05,0.0,2.4703211162501406e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.206983,1,Deleted
chr2-11398200-11398600,2,45.5,72.25,0.6627038646107195,0.0913622505559282,1.0,0.0,0.0473106677210836,0.0022190737365081,0.0001885390860379,2.275007165697064e-10,4.040878110895693e-05,4.688537250745584e-11,2.2753525669624907e-06,5.177229303982797e-12,0.0,0.0,0.0,2.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17858,1,Deleted
chr14-106349800-106350200,1,53.0,0.0,0.11437135981131,0.0,1.0,0.0,0.0001998514312002,0.0,0.0001998514312002,0.0,6.678471276139377e-05,0.0,3.849828639530531e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085075,1,Deleted
chr15-34806600-34808800,6,48.16666666666666,45.47222222222222,0.3313169318178296,0.1164692796977369,2.6666666666666665,3.2222222222222228,0.0120532255882801,0.000704212458274,0.0001853967679372,5.375494362002965e-10,1.7398598018699768e-05,3.969023716612461e-11,4.946382767210144e-09,1.2233351239876742e-16,3.0,14.666666666666664,3.555555555555556,3.0,33.0,72.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.83333333333333,42.47222222222222,0.0,0.0,0.0,0.117692,5,Deleted
chr6-169517800-169518000,1,37.0,0.0,0.8831105850568759,0.0,1.0,0.0,0.079827408343663,0.0,0.0001508312688303,0.0,6.255454080242373e-05,0.0,1.057794511535156e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07557,1,Deleted
chr15-44137400-44138000,4,27.25,7.6875,0.7164535038240608,0.0997156821307813,1.5,0.25,0.0243623306381079,0.0008051259137044,0.0001084099744718,2.3994216200711262e-11,1.061263911045079e-05,1.2163807737797932e-12,7.419574231737244e-09,1.6515024185467802e-16,0.0,0.0,0.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114137,1,Deleted
chr4-75079800-75081600,4,36.25,46.6875,0.2526700573994677,0.0975249097521738,3.0,1.5,0.0092934310419971,0.0001159525084609,0.0001432897053888,9.242216610644332e-10,1.6823670603709493e-05,2.2054858007464698e-11,4.3412410730140224e-16,5.653368219944442e-31,2.0,19.5,30.25,3.0,24.33333333333333,42.888888888888886,0.0,0.0,0.0,1.0,2.0,0.0,3.0,14.666666666666664,14.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342038999999999,4,Deleted
chr12-6506400-6506600,2,30.0,100.0,0.8009946308618845,0.0392494411335127,1.0,0.0,0.0774664579440821,0.0038796432614114,0.000343141136589,3.1992288267615e-09,0.0001231347242939,1.038691541916307e-08,0.0007915205565825,6.265047914928147e-07,0.0,0.0,0.0,2.0,21.5,72.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053805,0,Deleted
chr1-159121400-159123800,4,33.75,7.1875,0.6002380071577262,0.0307629592033237,2.0,0.0,0.0059662277000464,0.0001022916062942,0.0001404616190982,4.3633926498330455e-10,1.761841796647452e-05,1.1322401752881207e-11,2.4425441252196698e-18,1.789806541093538e-35,0.0,0.0,0.0,4.0,26.5,13.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.25,50.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169033,1,Deleted
chr17-35758800-35760200,5,43.2,56.96,0.6414625257157283,0.0919798355871266,2.8,1.36,0.0275902718520834,0.0030038738062053,0.000268479658518,2.8001925698982336e-08,9.07783905127168e-05,2.0919045495592583e-08,0.0003581654781628,5.131300389904885e-07,4.0,20.5,28.25,5.0,27.6,56.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951464,3,Deleted
chr16-71868400-71868600,2,37.5,0.25,0.5138305938335785,0.0675036062741616,1.0,0.0,0.0008180605892081,4.553157456503782e-07,0.0001489458779699,3.199228826761509e-11,1.1541165982248887e-05,4.2362772759584303e-14,2.192576311858318e-28,4.807390871215943e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8636450000000001,1,Deleted
chr7-154887000-154887800,4,37.25,3.6875,0.3886157350256065,0.038224180598686,1.25,0.1875,0.0179581427536861,0.0009525101153528,0.0001602582231322,1.2121522554729676e-09,2.732697789917308e-05,1.0049569926255531e-10,7.2669028892712634e-09,1.5842363280629702e-16,0.0,0.0,0.0,2.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.666666666666668,0.8888888888888891,0.0193938,1,Deleted
chr7-148617200-148619200,5,65.4,31.44,0.7646138451930552,0.0469029802796443,2.4,1.0400000000000005,0.0949199172962751,0.0011076998235744,0.0003054333193814,3.753761823400158e-09,4.974073474201848e-05,8.146797659987841e-11,0.0002625086354062,9.72482477834435e-08,0.0,0.0,0.0,2.0,46.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.5,10.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.6,6.6400000000000015,0.0,0.0,0.0,0.02681,3,Deleted
chr17-76282600-76283200,10,24.4,51.84,0.4778935789259767,0.125299651533995,2.2,0.36,0.0328653526170398,0.0019688200758522,0.0001316002820544,2.4156310461267162e-09,2.351834185388128e-05,8.522376513077075e-10,0.0001325496727923,1.484555698883605e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,2.4444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,6.6,14.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.7142857142857135,1.3469387755102038,0.0177817,4,Deleted
chr1-72763200-72764000,1,38.0,0.0,0.4620472923866961,0.0,1.0,0.0,0.0001432897053888,0.0,0.0001432897053888,0.0,4.958930760167746e-05,0.0,2.760743752730208e-37,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256838,0,Deleted
chr5-34081000-34081200,1,26.0,0.0,0.11437135981131,0.0,1.0,0.0,9.80403247397218e-05,0.0,9.80403247397218e-05,0.0,1.6918037798216478e-05,0.0,1.8894758432899867e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002915,1,Deleted
chr3-32667800-32668000,3,39.333333333333336,42.888888888888886,0.6469497484985193,0.1418200772073035,1.0,0.0,0.0038243408756786,2.7239449529909317e-05,0.0001948237222391,6.458492564840005e-09,2.362360440643869e-05,3.3701145313539347e-11,5.618042311002665e-20,6.31247988164323e-39,0.0,0.0,0.0,3.0,26.33333333333333,14.888888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102085,0,Deleted
chr1-174797200-174798400,1,32.0,0.0,0.85760491391728,0.0,1.0,0.0,0.0020632515274589,0.0,0.0001659143957133,0.0,3.058088467892176e-05,0.0,7.021440049859067e-27,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058995,0,Deleted
chr7-135503800-135504200,1,30.0,0.0,0.903404741917064,0.0,1.0,0.0,0.0001131234516227,0.0,0.0001131234516227,0.0,1.3818619090415768e-05,0.0,2.1798984797700616e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153675,1,Deleted
chr19-11414200-11415000,4,47.25,36.1875,0.431427483540965,0.1420332654308777,1.0,0.0,0.002988386389362,2.3793141302190462e-05,0.0002045649083511,3.166347863819785e-09,1.192805447808504e-05,3.14278795637411e-11,3.533508041300249e-19,3.745703723380056e-37,0.0,0.0,0.0,4.0,30.25,38.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016571,0,Deleted
